"","InstrumentSymbol","SessionDate","TradeDateTime","n.trades","last.price","weighted.price","period.ret","period.ret.volat","sum.qtd","sum.vol","n.buys","n.sells","Tradetime"
"1","PETR4",2015-05-20,2015-05-20 11:00:00,993,12.86,12.9217914656783,-0.00310077519379848,0.000278141873936374,1124100,14525302,478,515,"11:00:00"
"2","PETR4",2015-05-20,2015-05-20 11:15:00,803,12.91,12.8879398303157,0.00466926070038909,0.000276799217129907,818400,10547471,461,342,"11:15:00"
"3","PETR4",2015-05-20,2015-05-20 11:30:00,1239,12.8,12.8321704482176,-0.00775193798449614,0.000287225789777843,1409400,18085481,578,661,"11:30:00"
"4","PETR4",2015-05-20,2015-05-20 11:45:00,1295,12.89,12.8476035090182,0.00703125000000004,0.00022390354700339,1245600,16002881,760,535,"11:45:00"
"5","PETR4",2015-05-20,2015-05-20 12:00:00,1538,12.94,12.9073334187376,0.00310077519379837,0.000207210991565407,1051100,13566847,1153,385,"12:00:00"
"6","PETR4",2015-05-20,2015-05-20 12:15:00,1632,12.9,12.9414009229472,-0.00386100386100374,0.000217369630855672,1541300,19946536,979,653,"12:15:00"
"7","PETR4",2015-05-20,2015-05-20 12:30:00,1680,12.84,12.882378471331,-0.00465116279069766,0.000225816968629318,1267200,16324502,606,1074,"12:30:00"
"8","PETR4",2015-05-20,2015-05-20 12:45:00,863,12.87,12.8722226380696,0.00155642023346303,0.000282630366355237,641400,8256234,365,498,"12:45:00"
"9","PETR4",2015-05-20,2015-05-20 13:00:00,920,12.94,12.9241408620009,0.00543900543900544,0.000299053273425386,845800,10931195,499,421,"13:00:00"
"10","PETR4",2015-05-20,2015-05-20 13:15:00,807,12.97,12.9436547372899,0.00231839258114386,0.000254104213328763,880400,11395566,504,303,"13:15:00"
"11","PETR4",2015-05-20,2015-05-20 13:30:00,980,12.97,12.9877930718207,-0.000770416024653331,0.000273062207338505,1113800,14465763,549,431,"13:30:00"
"12","PETR4",2015-05-20,2015-05-20 13:45:00,875,12.93,12.9601906375874,-0.00461893764434185,0.000253120367169149,874600,11334963,396,479,"13:45:00"
"13","PETR4",2015-05-20,2015-05-20 14:00:00,846,12.95,12.9477482510551,0.00154679040989936,0.000283833847905055,643600,8333167,456,390,"14:00:00"
"14","PETR4",2015-05-20,2015-05-20 14:15:00,1025,12.89,12.9124592646614,-0.00463320463320449,0.00024682796890292,788800,10185321,385,640,"14:15:00"
"15","PETR4",2015-05-20,2015-05-20 14:30:00,936,12.91,12.9069736428768,0.00232919254658381,0.000267045658891358,777400,10033872,506,430,"14:30:00"
"16","PETR4",2015-05-20,2015-05-20 14:45:00,1186,12.92,12.9419759512271,0.000774593338497276,0.000268553005798365,1092900,14144256,673,513,"14:45:00"
"17","PETR4",2015-05-20,2015-05-20 15:00:00,1679,12.9,12.9319563122665,-0.00154798761609909,0.00021358942440504,1686800,21813583,1076,603,"15:00:00"
"18","PETR4",2015-05-20,2015-05-20 15:15:00,1601,13.01,12.9652704899951,0.0093095422808378,0.000275570910564426,1437700,18640024,1024,577,"15:15:00"
"19","PETR4",2015-05-20,2015-05-20 15:30:00,1283,12.96,12.9964348665596,-0.00384319754035345,0.000274473052433688,1372100,17832376,589,694,"15:30:00"
"20","PETR4",2015-05-20,2015-05-20 15:45:00,1621,12.92,12.9187952797901,-0.00231660231660225,0.000271401104374593,1506800,19465914,751,870,"15:45:00"
"21","PETR4",2015-05-20,2015-05-20 16:00:00,1354,12.87,12.9219239075118,-0.00386996904024772,0.000237288895502383,1384400,17889072,574,780,"16:00:00"
"22","PETR4",2015-05-20,2015-05-20 16:15:00,1382,12.87,12.8715239087332,-0.000776397515528049,0.000255212449611884,1593800,20514575,714,668,"16:15:00"
"23","PETR4",2015-05-20,2015-05-20 16:30:00,1467,12.88,12.8936548650928,0,0.00027035074813121,1314100,16943531,770,697,"16:30:00"
"24","PETR4",2015-05-20,2015-05-20 16:45:00,889,12.86,12.8533456083972,-0.00155279503105599,0.000406398422426761,1092100,14037130,367,522,"16:45:00"
"25","VALE5",2015-05-20,2015-05-20 11:00:00,1734,16.74,16.7505767779866,-0.00178890876565307,0.000270267016854246,974300,16320075,569,1165,"11:00:00"
"26","VALE5",2015-05-20,2015-05-20 11:15:00,1031,16.72,16.7041944720376,-0.00119474313022694,0.000271595250378387,825100,13782619,468,563,"11:15:00"
"27","VALE5",2015-05-20,2015-05-20 11:30:00,939,16.65,16.6746974865643,-0.00359066427289068,0.000352587867929153,588300,9809680,384,555,"11:30:00"
"28","VALE5",2015-05-20,2015-05-20 11:45:00,1873,16.77,16.6763489165819,0.00720720720720736,0.000288777414138941,1557800,25978152,1042,831,"11:45:00"
"29","VALE5",2015-05-20,2015-05-20 12:00:00,1086,16.79,16.7772353360492,0.000595947556614851,0.000266672439855623,793600,13314403,645,441,"12:00:00"
"30","VALE5",2015-05-20,2015-05-20 12:15:00,678,16.75,16.7937950386504,-0.00238237045860623,0.000274746753976847,569200,9559012,315,363,"12:15:00"
"31","VALE5",2015-05-20,2015-05-20 12:30:00,866,16.75,16.7662640755787,0,0.000291245540484074,468300,7851631,319,547,"12:30:00"
"32","VALE5",2015-05-20,2015-05-20 12:45:00,1008,16.8,16.8010931162159,0.00298507462686581,0.000255020825527075,1191700,20021851,352,656,"12:45:00"
"33","VALE5",2015-05-20,2015-05-20 13:00:00,1166,16.88,16.8936951559441,0.00476190476190474,0.000251304556312459,626700,10587223,680,486,"13:00:00"
"34","VALE5",2015-05-20,2015-05-20 13:15:00,740,16.89,16.8972033776453,0,0.000258057199809286,472100,7977155,412,328,"13:15:00"
"35","VALE5",2015-05-20,2015-05-20 13:30:00,1268,16.99,16.9665281611385,0.00592066311426875,0.000247831733634884,611200,10369911,828,440,"13:30:00"
"36","VALE5",2015-05-20,2015-05-20 13:45:00,747,16.99,17.0167100677145,0.000588928150765389,0.000279792622454349,419900,7145296,372,375,"13:45:00"
"37","VALE5",2015-05-20,2015-05-20 14:00:00,1022,17.08,17.0342139851264,0.00529723366686286,0.000241648916309817,702600,11968215,709,313,"14:00:00"
"38","VALE5",2015-05-20,2015-05-20 14:15:00,1131,17.02,17.0704924505203,-0.00351288056206078,0.000301887336858265,578600,9876972,682,449,"14:15:00"
"39","VALE5",2015-05-20,2015-05-20 14:30:00,1593,16.87,16.961326746117,-0.00939518496770408,0.000293530236464859,1104300,18730117,846,747,"14:30:00"
"40","VALE5",2015-05-20,2015-05-20 14:45:00,750,16.89,16.9361140277877,0.00118553645524599,0.000333153526027869,367600,6225693,429,321,"14:45:00"
"41","VALE5",2015-05-20,2015-05-20 15:00:00,1044,16.86,16.9057667855856,-0.00118483412322268,0.00034374053524375,858000,14505124,539,505,"15:00:00"
"42","VALE5",2015-05-20,2015-05-20 15:15:00,1262,16.92,16.8943183930124,0.00355871886121006,0.000303965141131395,816800,13799235,733,529,"15:15:00"
"43","VALE5",2015-05-20,2015-05-20 15:30:00,1152,16.87,16.9194013456067,-0.00236546422235362,0.000242787387287153,664300,11239540,583,569,"15:30:00"
"44","VALE5",2015-05-20,2015-05-20 15:45:00,1578,16.81,16.8302372996194,-0.00355660936573809,0.000284031819731238,1079700,18171542,780,798,"15:45:00"
"45","VALE5",2015-05-20,2015-05-20 16:00:00,747,16.76,16.7930536221203,-0.00297441998810211,0.000291765871356759,593400,9964992,353,394,"16:00:00"
"46","VALE5",2015-05-20,2015-05-20 16:15:00,1291,16.68,16.696630697061,-0.00477326968973757,0.000270952658566789,853400,14248882,714,577,"16:15:00"
"47","VALE5",2015-05-20,2015-05-20 16:30:00,1127,16.68,16.6760502673649,0,0.000268763933350618,603700,10067327,745,382,"16:30:00"
"48","VALE5",2015-05-20,2015-05-20 16:45:00,1675,16.65,16.641177822053,-0.00119976004799061,0.000210942747017657,1637100,27243207,1299,376,"16:45:00"
"49","PETR4",2015-05-21,2015-05-21 11:00:00,3558,13.32,13.2806776321526,0.00832702498107496,0.000272903995095519,3667200,48702751,1985,1573,"11:00:00"
"50","PETR4",2015-05-21,2015-05-21 11:15:00,2577,13.33,13.2933485429096,0.000750750750750706,0.000247658750835251,3332700,44302571,1444,1133,"11:15:00"
"51","PETR4",2015-05-21,2015-05-21 11:30:00,3363,13.42,13.3713499467741,0.00599700149925031,0.000240648391724912,3706700,49563243,1626,1737,"11:30:00"
"52","PETR4",2015-05-21,2015-05-21 11:45:00,3513,13.36,13.4672944356166,-0.00521221146686524,0.000214640866378362,4994400,67260606,1383,2130,"11:45:00"
"53","PETR4",2015-05-21,2015-05-21 12:00:00,1732,13.4,13.3902410944544,0.0022438294689604,0.000253358739485769,1741700,23321648,859,873,"12:00:00"
"54","PETR4",2015-05-21,2015-05-21 12:15:00,1403,13.4,13.4136368477595,0,0.000233939193524868,1170900,15705997,823,580,"12:15:00"
"55","PETR4",2015-05-21,2015-05-21 12:30:00,1939,13.47,13.4505005843026,0.00522388059701484,0.000261260267854178,1711700,23023175,1189,750,"12:30:00"
"56","PETR4",2015-05-21,2015-05-21 12:45:00,1167,13.48,13.456097116261,0.000742390497401546,0.000235542084011986,1057800,14233847,559,608,"12:45:00"
"57","PETR4",2015-05-21,2015-05-21 13:00:00,729,13.46,13.4695429324111,-0.00148367952522255,0.000294009802668207,521700,7027057,372,357,"13:00:00"
"58","PETR4",2015-05-21,2015-05-21 13:15:00,912,13.45,13.456077792513,-0.000742942050520168,0.000273188202058205,579600,7799131,463,449,"13:15:00"
"59","PETR4",2015-05-21,2015-05-21 13:30:00,602,13.44,13.4439618661627,0,0.000300655449257776,496300,6672237,261,341,"13:30:00"
"60","PETR4",2015-05-21,2015-05-21 13:45:00,556,13.44,13.4459995411702,0,0.000354736334983334,296300,3984048,377,179,"13:45:00"
"61","PETR4",2015-05-21,2015-05-21 14:00:00,1556,13.35,13.3645074890319,-0.00743494423791824,0.000284245852798073,1533700,20496975,586,970,"14:00:00"
"62","PETR4",2015-05-21,2015-05-21 14:15:00,1004,13.32,13.3087776190771,-0.00224719101123594,0.000302915929115764,1092800,14543797,416,588,"14:15:00"
"63","PETR4",2015-05-21,2015-05-21 14:30:00,1086,13.33,13.3277246771469,0.00150262960180303,0.000280971485815083,860300,11465819,580,506,"14:30:00"
"64","PETR4",2015-05-21,2015-05-21 14:45:00,1857,13.25,13.2821305840309,-0.00600150037509373,0.000242226538601956,1857500,24671470,713,1144,"14:45:00"
"65","PETR4",2015-05-21,2015-05-21 15:00:00,1390,13.3,13.3030981850093,0.00377358490566038,0.000252768947006552,1170100,15565920,776,614,"15:00:00"
"66","PETR4",2015-05-21,2015-05-21 15:15:00,1494,13.3,13.2966859081212,0,0.000249350762068206,1351900,17975772,910,584,"15:15:00"
"67","PETR4",2015-05-21,2015-05-21 15:30:00,1400,13.28,13.281887038452,-0.00150375939849634,0.000256430928164601,1152000,15300711,769,631,"15:30:00"
"68","PETR4",2015-05-21,2015-05-21 15:45:00,1542,13.3,13.2907130780999,0.00226073850791275,0.000188904592465619,1336400,17761701,987,555,"15:45:00"
"69","PETR4",2015-05-21,2015-05-21 16:00:00,1911,13.3,13.3060152166285,0,0.000255064338920749,2158400,28719634,962,949,"16:00:00"
"70","PETR4",2015-05-21,2015-05-21 16:15:00,1783,13.37,13.3231738772334,0.00526315789473664,0.00027016247047291,1392100,18547132,938,845,"16:15:00"
"71","PETR4",2015-05-21,2015-05-21 16:30:00,2144,13.41,13.4063030396434,0.00224215246636761,0.000289657028006351,1869200,25058992,993,1151,"16:30:00"
"72","PETR4",2015-05-21,2015-05-21 16:45:00,1128,13.37,13.3875877444236,-0.00298284862043263,0.000380363678484585,944300,12641886,450,678,"16:45:00"
"73","VALE5",2015-05-21,2015-05-21 11:00:00,967,16.87,16.8416492587039,0.00716417910447764,0.000309583697380328,569600,9592928,612,355,"11:00:00"
"74","VALE5",2015-05-21,2015-05-21 11:15:00,734,16.84,16.7760882512345,-0.0017783046828691,0.00028127885888338,366800,6153455,357,377,"11:15:00"
"75","VALE5",2015-05-21,2015-05-21 11:30:00,1011,16.94,16.8706701644092,0.0065359477124185,0.000298020233469582,646800,10911800,655,356,"11:30:00"
"76","VALE5",2015-05-21,2015-05-21 11:45:00,1362,16.91,16.9502079171777,-0.00177095631641089,0.000282290715996389,950600,16112762,730,632,"11:45:00"
"77","VALE5",2015-05-21,2015-05-21 12:00:00,851,16.95,16.9409083956218,0.00295857988165693,0.000265095795141793,419400,7104977,479,372,"12:00:00"
"78","VALE5",2015-05-21,2015-05-21 12:15:00,893,16.98,16.9482372630378,0.00176991150442474,0.000242823171759226,653800,11080723,535,358,"12:15:00"
"79","VALE5",2015-05-21,2015-05-21 12:30:00,817,17,16.9814282057924,0.00117785630153122,0.000240543015552193,459700,7806354,516,301,"12:30:00"
"80","VALE5",2015-05-21,2015-05-21 12:45:00,818,16.96,17.0037191820606,-0.00176574455562084,0.000262934208673011,518100,8809601,492,326,"12:45:00"
"81","VALE5",2015-05-21,2015-05-21 13:00:00,708,16.93,16.9052667655144,-0.00117994100294982,0.000303757443242634,350200,5920218,357,351,"13:00:00"
"82","VALE5",2015-05-21,2015-05-21 13:15:00,675,16.91,16.9215478834044,-0.00118133490844652,0.000314064309674874,197600,3343695,343,332,"13:15:00"
"83","VALE5",2015-05-21,2015-05-21 13:30:00,665,16.93,16.9242948748691,0.00177514792899425,0.000328583144129113,161400,2731579,329,336,"13:30:00"
"84","VALE5",2015-05-21,2015-05-21 13:45:00,529,16.94,16.9409010270885,0.00118203309692677,0.000348812543048978,100300,1699172,277,252,"13:45:00"
"85","VALE5",2015-05-21,2015-05-21 14:00:00,989,16.84,16.8635781291671,-0.00590318772136966,0.00026014282922702,367100,6190601,385,604,"14:00:00"
"86","VALE5",2015-05-21,2015-05-21 14:15:00,725,16.81,16.8373339113325,-0.00178147268408557,0.000308337328480196,251200,4229533,369,356,"14:15:00"
"87","VALE5",2015-05-21,2015-05-21 14:30:00,660,16.76,16.7812814586693,-0.00297441998810211,0.000300132363929591,266600,4473886,312,348,"14:30:00"
"88","VALE5",2015-05-21,2015-05-21 14:45:00,867,16.72,16.7324577940647,-0.00179104477611947,0.000259415520109884,432100,7230085,371,496,"14:45:00"
"89","VALE5",2015-05-21,2015-05-21 15:00:00,922,16.71,16.7332223702113,-0.00059808612440182,0.000262065887054984,624400,10448216,620,302,"15:00:00"
"90","VALE5",2015-05-21,2015-05-21 15:15:00,1420,16.68,16.6923871633262,-0.00179533213644534,0.000208135802349228,953300,15912845,1007,413,"15:15:00"
"91","VALE5",2015-05-21,2015-05-21 15:30:00,1471,16.65,16.6566433550108,-0.00239664469742373,0.000237536148606786,977200,16276836,781,690,"15:30:00"
"92","VALE5",2015-05-21,2015-05-21 15:45:00,1546,16.6,16.6150311557787,-0.00300300300300282,0.000248343704471898,805800,13388367,756,790,"15:45:00"
"93","VALE5",2015-05-21,2015-05-21 16:00:00,1614,16.67,16.6048481440418,0.00482218203737195,0.000235195432165245,1110000,18431315,1022,592,"16:00:00"
"94","VALE5",2015-05-21,2015-05-21 16:15:00,1359,16.79,16.7334301587782,0.0071985602879423,0.000271432037496322,771700,12913169,839,520,"16:15:00"
"95","VALE5",2015-05-21,2015-05-21 16:30:00,2090,16.83,16.8603435843849,0.00238237045860634,0.000291250070807492,1455900,24546750,1131,959,"16:30:00"
"96","VALE5",2015-05-21,2015-05-21 16:45:00,742,16.83,16.8341113958198,-0.000593824228028561,0.000268268015215589,442700,7452452,456,286,"16:45:00"
"97","PETR4",2015-05-22,2015-05-22 11:00:00,1339,13.31,13.2841972347604,0.00225903614457845,0.000296393645681461,980500,13025128,556,783,"11:00:00"
"98","PETR4",2015-05-22,2015-05-22 11:15:00,1595,13.26,13.2868131104849,-0.00375657400450791,0.000255153906956557,1001100,13301415,492,1103,"11:15:00"
"99","PETR4",2015-05-22,2015-05-22 11:30:00,3198,13.17,13.1857227039748,-0.00678733031674206,0.000281074711785567,3453400,45535366,1078,2120,"11:30:00"
"100","PETR4",2015-05-22,2015-05-22 11:45:00,2927,13.05,13.0940370386695,-0.00835866261398177,0.000268377403399692,3210700,42040603,881,2046,"11:45:00"
"101","PETR4",2015-05-22,2015-05-22 12:00:00,1644,13.04,13.0719457608567,-0.00153139356814713,0.000253367124153996,1321800,17278444,765,879,"12:00:00"
"102","PETR4",2015-05-22,2015-05-22 12:15:00,2473,13,13.0047795593733,-0.00383141762452111,0.000300247915134128,1939500,25222710,844,1629,"12:15:00"
"103","PETR4",2015-05-22,2015-05-22 12:30:00,2392,12.97,12.9839085366,-0.00230769230769223,0.000322532519956425,2402300,31191165,1019,1373,"12:30:00"
"104","PETR4",2015-05-22,2015-05-22 12:45:00,2181,12.99,12.9738588744173,0.00154202004626058,0.000335207409203977,2172000,28179129,862,1319,"12:45:00"
"105","PETR4",2015-05-22,2015-05-22 13:00:00,1989,12.96,12.9769185637859,-0.00154083204930655,0.000337202855749333,1615900,20969381,747,1242,"13:00:00"
"106","PETR4",2015-05-22,2015-05-22 13:15:00,2512,12.96,12.992430651645,0,0.000325372190738604,2819700,36634719,1154,1358,"13:15:00"
"107","PETR4",2015-05-22,2015-05-22 13:30:00,1268,12.98,12.9802493915235,0.00154320987654311,0.000377597236737599,585800,7603827,500,768,"13:30:00"
"108","PETR4",2015-05-22,2015-05-22 13:45:00,1606,13.02,13.0364574038671,0.00230946882217076,0.000380877236506566,1152400,15023183,679,927,"13:45:00"
"109","PETR4",2015-05-22,2015-05-22 14:00:00,1876,13.02,13.0241088883866,0,0.000255849881973201,1416400,18447330,553,1323,"14:00:00"
"110","PETR4",2015-05-22,2015-05-22 14:15:00,1583,13.03,13.0336423729341,0,0.000234763569343236,732700,9549747,383,1200,"14:15:00"
"111","PETR4",2015-05-22,2015-05-22 14:30:00,1931,13.05,13.0656686027308,0.00153491941673067,0.000283239753915874,2104000,27490136,584,1347,"14:30:00"
"112","PETR4",2015-05-22,2015-05-22 14:45:00,2318,12.97,13.0078146954412,-0.00689127105666154,0.000271474267780864,1373400,17864860,574,1744,"14:45:00"
"113","PETR4",2015-05-22,2015-05-22 15:00:00,2053,12.98,12.9941099893777,0.000771010023130181,0.000343652807733667,1319300,17143110,702,1351,"15:00:00"
