ticker, name, currency, quandl.symbol
^GSPC, S&P 500,USD,FED/RXI_US_N_B_UK
^FTSE, FTSE 100,GPB,FED/RXI_US_N_B_UK
^GDAXI, DAX, EUR,FED/RXI_US_N_B_EU
^FCHI, CAC 40, EUR,FED/RXI_US_N_B_EU
^STOXX50E,ESTX50 EUR P,EUR,FED/RXI_US_N_B_EU
^N100,EURONEXT 100,EUR,FED/RXI_US_N_B_EU
^BFX,BEL 20,EUR,FED/RXI_US_N_B_EU
^N225,Nikkei 225,JPY,FED/RXI_N_B_JA
^HSI,HANG SENG INDEX,HKD,FED/RXI_N_B_HK
000001.SS,SSE Composite Index,CNY,FED/RXI_N_B_CH
^STI, STI Index,SGD,FED/RXI_N_B_SI
^AXJO,S&P/ASX 200,AUS,FED/RXI_US_N_B_AL
^BSESN,S&P BSE SENSEX,INR,FED/RXI_N_B_IN
^KLSE,FTSE Bursa Malaysia KLCI,MYR,FED/RXI_N_B_MA
^NZ50,S&P/NZX 50 INDEX GROSS,NZD,FED/RXI_US_N_B_NZ
^KS11,KOSPI Composite Index,KRW,FED/RXI_N_B_KO
^TWII,TSEC weighted index,TWD,FED/RXI_N_B_TA
^GSPTSE,S&P/TSX Composite index,CAD,FED/RXI_N_B_CA
^BVSP,IBOVESPA,BRL,FED/RXI_N_B_BZ
^MXX,IPC,MXN,FED/RXI_N_B_MX
