"","ref.date","yield.bid","price.bid","asset.code"
"53",2002-03-18,0.1977,720.96,"LTN 070104"
"54",2002-03-19,0.1975,721.7,"LTN 070104"
"55",2002-03-20,0.1967,723.09,"LTN 070104"
"56",2002-03-21,0.2005,719.48,"LTN 070104"
"57",2002-03-22,0.1983,722.38,"LTN 070104"
"58",2002-03-25,0.1996,721.49,"LTN 070104"
"59",2002-03-26,0.1984,723.31,"LTN 070104"
"60",2002-03-27,0.1982,724.05,"LTN 070104"
"61",2002-03-28,0.1966,726.29,"LTN 070104"
"62",2002-04-01,0.1954,728.11,"LTN 070104"
"63",2002-04-02,0.1955,728.52,"LTN 070104"
"64",2002-04-03,0.1944,730.22,"LTN 070104"
"65",2002-04-04,0.1953,729.76,"LTN 070104"
"66",2002-04-05,0.1955,730.07,"LTN 070104"
"67",2002-04-08,0.1952,730.91,"LTN 070104"
"68",2002-04-09,0.1966,729.92,"LTN 070104"
"69",2002-04-10,0.1966,730.44,"LTN 070104"
"70",2002-04-11,0.1969,730.64,"LTN 070104"
"71",2002-04-12,0.1967,731.38,"LTN 070104"
"72",2002-04-15,0.1957,732.96,"LTN 070104"
"73",2002-04-16,0.1974,731.68,"LTN 070104"
"74",2002-04-17,0.1974,732.2,"LTN 070104"
"75",2002-04-18,0.1988,731.25,"LTN 070104"
"76",2002-04-19,0.205,725.3,"LTN 070104"
"77",2002-04-22,0.2057,725.12,"LTN 070104"
"78",2002-04-23,0.214,717.17,"LTN 070104"
"79",2002-04-24,0.2146,717.12,"LTN 070104"
"80",2002-04-25,0.2132,719.08,"LTN 070104"
"81",2002-04-26,0.2158,717.02,"LTN 070104"
"82",2002-04-29,0.2176,715.77,"LTN 070104"
"83",2002-04-30,0.2182,715.73,"LTN 070104"
"84",2002-05-02,0.2178,716.69,"LTN 070104"
"85",2002-05-03,0.2217,713.4,"LTN 070104"
"86",2002-05-06,0.2216,714.06,"LTN 070104"
"87",2002-05-07,0.221,715.22,"LTN 070104"
"88",2002-05-08,0.2212,715.59,"LTN 070104"
"89",2002-05-09,0.223,714.4,"LTN 070104"
"90",2002-05-10,0.2301,708.1,"LTN 070104"
"91",2002-05-13,0.2341,704.87,"LTN 070104"
"92",2002-05-14,0.2403,699.62,"LTN 070104"
"93",2002-05-15,0.2397,700.78,"LTN 070104"
"94",2002-05-16,0.2389,702.12,"LTN 070104"
"95",2002-05-17,0.2339,707.42,"LTN 070104"
"96",2002-05-20,0.2331,708.76,"LTN 070104"
"97",2002-05-21,0.2302,712.09,"LTN 070104"
"98",2002-05-22,0.232,710.98,"LTN 070104"
"99",2002-05-23,0.2369,706.97,"LTN 070104"
"100",2002-05-24,0.2347,709.62,"LTN 070104"
"101",2002-05-27,0.2328,711.99,"LTN 070104"
"102",2002-05-28,0.232,713.34,"LTN 070104"
"103",2002-05-29,0.2305,715.33,"LTN 070104"
"104",2002-05-31,0.2301,716.3,"LTN 070104"
"105",2002-06-03,0.2293,717.64,"LTN 070104"
"106",2002-06-04,0.2295,718.04,"LTN 070104"
"107",2002-06-05,0.2457,703.74,"LTN 070104"
"108",2002-06-06,0.2428,706.98,"LTN 070104"
"109",2002-06-07,0.2529,698.53,"LTN 070104"
"110",2002-06-10,0.2549,697.39,"LTN 070104"
"111",2002-06-11,0.2499,702.44,"LTN 070104"
"112",2002-06-12,0.2687,686.68,"LTN 070104"
"113",2002-06-13,0.3,661.44,"LTN 070104"
"114",2002-06-14,0.3051,658.07,"LTN 070104"
"115",2002-06-17,0.3136,652.09,"LTN 070104"
"116",2002-06-18,0.3042,660.17,"LTN 070104"
"117",2002-06-19,0.3067,658.9,"LTN 070104"
"118",2002-06-20,0.324,646.24,"LTN 070104"
"119",2002-06-21,0.3289,643.26,"LTN 070104"
"120",2002-06-24,0.3489,629.27,"LTN 070104"
"121",2002-06-25,0.3364,639.14,"LTN 070104"
"122",2002-06-26,0.3316,643.43,"LTN 070104"
"123",2002-06-27,0.3353,641.42,"LTN 070104"
"124",2002-06-28,0.3109,660.56,"LTN 070104"
"125",2002-07-01,0.3007,669.21,"LTN 070104"
"126",2002-07-02,0.3241,651.95,"LTN 070104"
"127",2002-07-03,0.3328,646.21,"LTN 070104"
"128",2002-07-04,0.3138,661.18,"LTN 070104"
"129",2002-07-05,0.3143,661.52,"LTN 070104"
"130",2002-07-08,0.3146,662.01,"LTN 070104"
"131",2002-07-09,0.3047,670.3,"LTN 070104"
"132",2002-07-10,0.3047,671.01,"LTN 070104"
"133",2002-07-11,0.3017,674.04,"LTN 070104"
"134",2002-07-12,0.2987,677.07,"LTN 070104"
"135",2002-07-15,0.2929,682.3,"LTN 070104"
"136",2002-07-16,0.299,678.24,"LTN 070104"
"137",2002-07-17,0.3049,674.41,"LTN 070104"
"138",2002-07-18,0.3042,675.66,"LTN 070104"
"139",2002-07-19,0.2947,683.69,"LTN 070104"
"140",2002-07-22,0.2908,687.43,"LTN 070104"
"141",2002-07-23,0.3037,678.18,"LTN 070104"
"142",2002-07-24,0.314,671.13,"LTN 070104"
"143",2002-07-25,0.3117,673.58,"LTN 070104"
"144",2002-07-26,0.3121,674.01,"LTN 070104"
"145",2002-07-29,0.32,668.89,"LTN 070104"
"146",2002-07-30,0.3418,653.97,"LTN 070104"
"147",2002-07-31,0.326924,665.33,"LTN 070104"
"148",2002-08-01,0.3278,665.45,"LTN 070104"
"149",2002-08-02,0.3268,666.92,"LTN 070104"
"150",2002-08-05,0.3129,677.79,"LTN 070104"
"151",2002-08-06,0.3206,672.89,"LTN 070104"
"152",2002-08-07,0.3187,675.01,"LTN 070104"
